price_per_m,coors
418918.91891891893,"37.605831,55.76306700000001"
136849.31506849316,"37.544396,55.925672"
183333.33333333334,"37.495177000000005,55.776340000000005"
151666.66666666666,"37.706452,55.616209"
344186.0465116279,"37.567563,55.747023999999996"
665048.5436893204,"37.596776,55.750054000000006"
228061.3679245283,"37.637506,55.848133999999995"
265384.6153846154,"37.641054,55.773727"
273305.0847457627,"37.497153000000004,55.797787"
195822.45430809402,"37.543955,55.639247999999995"
308988.76404494385,"37.495896,55.68127"
127631.57894736843,"37.91575,55.70460500000001"
151515.15151515152,"37.769711,55.723693000000004"
141255.60538116592,"37.676313,55.633343"
148571.42857142858,"37.487874,55.869333999999995"
109718.0980861244,"37.704716,55.64571899999999"
390070.9219858156,"37.582538,55.74179399999999"
157894.73684210525,"37.751134,55.646980000000006"
152180.76477404404,"37.738115,55.760073"
128571.42857142857,"37.661229999999996,55.860822"
99998.95408163265,"37.510957,55.523648"
100050.0,"37.510957,55.523648"
128260.86956521739,"37.827068,55.811179"
148333.33333333334,"37.718561,55.599926"
192307.6923076923,"37.578720000000004,55.565442000000004"
492307.6923076923,"37.618255,55.738769"
681994.4779116466,"37.570474,55.72961"
139242.2192151556,"37.772756,55.797655000000006"
252000.0,"37.648183,55.811765"
198245.61403508772,"37.665471000000004,55.819706999999994"
225806.4516129032,"37.590047999999996,55.782759999999996"
1852545.0,"37.599928999999996,55.738753"
238486.84210526317,"37.633787,55.726507"
210263.15789473685,"37.58164,55.682345999999995"
226973.68421052632,"37.590379999999996,55.827879"
194642.85714285713,"37.590138,55.786252000000005"
156250.0,"37.788854,55.803847999999995"
166666.66666666666,"37.587299,55.829330000000006"
128571.42857142857,"37.755015,55.6823"
140384.61538461538,"37.541072,55.923356999999996"
436287.77173913043,"37.540156,55.741287"
394736.84210526315,"37.594485999999996,55.747363"
227212.78481012658,"37.631085,55.675862"
137223.97476340694,"37.771867,55.730233"
107628.41237113402,"37.555508,55.558626000000004"
448974.358974359,"37.500746,55.699796"
430172.4137931034,"37.622145,55.774471999999996"
177040.11065006917,"37.709146999999994,55.733452"
156316.9164882227,"37.649418,55.668701"
143867.9245283019,"37.622486,55.866505000000004"
364963.503649635,"37.578244,55.684402"
161538.46153846153,"37.356199,55.844708"
481904.7619047619,"37.527903,55.723237"
250000.0,"37.650127000000005,55.813455000000005"
458458.10101010103,"37.526339,55.7245"
374045.80152671755,"37.527903,55.723237"
